company_id: emni
company_name: 이엠앤아이
doc_title: 2023_재무_CFS.json
source_url: 
file_url: colletor-ai/output_restart_emni_20260617/이엠앤아이_일반자료_20260617/02_재무_신용/DART_재무/2023_재무_CFS.json
schema: dart_financial_statement
local_path: C:\Users\nguye\Downloads\data-company\dataset-excel\output_restart_emni_20260617\output_restart_emni_20260617\이엠앤아이_일반자료_20260617\02_재무_신용\DART_재무\2023_재무_CFS.json

# DART financial statement (2023_재무_CFS.json, year=2023)

## 재무상태표
- statement=현금흐름표 | account=단기금융상품의증가 | account_id=-표준계정코드 미사용- | 제 25 기=- KRW | 제 24 기=1,000,000,000 KRW | 제 23 기=2,000,000,000 KRW
- statement=현금흐름표 | account=산업재산권의취득 | account_id=-표준계정코드 미사용- | 제 25 기=- KRW | 제 24 기=- KRW | 제 23 기=34,650,762 KRW
- statement=현금흐름표 | account=단기금융상품의감소 | account_id=-표준계정코드 미사용- | 제 25 기=3,000,000,000 KRW | 제 24 기=- KRW | 제 23 기=- KRW
- statement=현금흐름표 | account=단기대여금의 회수 | account_id=-표준계정코드 미사용- | 제 25 기=134,685,024 KRW | 제 24 기=- KRW | 제 23 기=- KRW
- statement=현금흐름표 | account=공구와기구의 처분 | account_id=-표준계정코드 미사용- | 제 25 기=- KRW | 제 24 기=5,871,452 KRW | 제 23 기=- KRW
- statement=현금흐름표 | account=시설장치의 처분 | account_id=-표준계정코드 미사용- | 제 25 기=- KRW | 제 24 기=600,000 KRW | 제 23 기=- KRW
- statement=현금흐름표 | account=투자부동산의 취득 | account_id=-표준계정코드 미사용- | 제 25 기=-1704124966 KRW | 제 24 기=- KRW | 제 23 기=- KRW
- statement=현금흐름표 | account=정부보조금의 수취 | account_id=ifrs-full_ProceedsFromGovernmentGrantsClassifiedAsInvestingActivities | 제 25 기=170,810,089 KRW | 제 24 기=434,123,895 KRW | 제 23 기=220,830,042 KRW
- statement=현금흐름표 | account=영업활동현금흐름 | account_id=ifrs-full_CashFlowsFromUsedInOperatingActivities | 제 25 기=-1392898524 KRW | 제 24 기=2,054,794,421 KRW | 제 23 기=2,402,622,654 KRW
- statement=현금흐름표 | account=영업활동에서 창출된 현금흐름 | account_id=-표준계정코드 미사용- | 제 25 기=-1538171561 KRW | 제 24 기=2,032,019,593 KRW | 제 23 기=2,360,322,879 KRW
- statement=현금흐름표 | account=당기순이익(손실) | account_id=-표준계정코드 미사용- | 제 25 기=-386667305 KRW | 제 24 기=-122437316 KRW | 제 23 기=-1568386424 KRW
- statement=현금흐름표 | account=조정 | account_id=-표준계정코드 미사용- | 제 25 기=580,336,835 KRW | 제 24 기=1,479,576,083 KRW | 제 23 기=2,264,680,297 KRW
- statement=현금흐름표 | account=순운전자본의 변동 | account_id=-표준계정코드 미사용- | 제 25 기=-1731841091 KRW | 제 24 기=674,880,826 KRW | 제 23 기=1,664,029,006 KRW
- statement=현금흐름표 | account=법인세환급(납부) | account_id=ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities | 제 25 기=23,808,870 KRW | 제 24 기=2,671,049 KRW | 제 23 기=-454030 KRW
- statement=현금흐름표 | account=이자지급 | account_id=ifrs-full_InterestPaidClassifiedAsOperatingActivities | 제 25 기=24,973,493 KRW | 제 24 기=6,843,254 KRW | 제 23 기=3,249,437 KRW
- statement=현금흐름표 | account=이자수취 | account_id=ifrs-full_InterestReceivedClassifiedAsOperatingActivities | 제 25 기=194,055,400 KRW | 제 24 기=32,289,131 KRW | 제 23 기=45,095,182 KRW
- statement=현금흐름표 | account=현금및현금성자산의순증가(감소) | account_id=ifrs-full_IncreaseDecreaseInCashAndCashEquivalents | 제 25 기=1,349,683,627 KRW | 제 24 기=1,667,138,134 KRW | 제 23 기=2,527,056,394 KRW

## 자본변동표
- statement=자본변동표 | account=기초자본 | account_id=dart_EquityAtBeginningOfPeriod | detail=연결재무제표 [member] | 제 25 기=12,484,625,728 KRW | 제 24 기=7,031,312,831 KRW | 제 23 기=3,741,678,491 KRW
- statement=자본변동표 | account=기초자본 | account_id=dart_EquityAtBeginningOfPeriod | detail=자본 [구성요소]|결손금 | 제 25 기=-22366069706 KRW | 제 24 기=-22261698970 KRW | 제 23 기=-54847895565 KRW
- statement=자본변동표 | account=기초자본 | account_id=dart_EquityAtBeginningOfPeriod | detail=자본 [구성요소]|기타자본항목 | 제 25 기=20,291,776,010 KRW | 제 24 기=20,414,255,919 KRW | 제 23 기=13,264,723,453 KRW
- statement=자본변동표 | account=기초자본 | account_id=dart_EquityAtBeginningOfPeriod | detail=자본 [구성요소]|자본금 | 제 25 기=10,371,809,000 KRW | 제 24 기=7,856,128,500 KRW | 제 23 기=11,212,257,500 KRW
- statement=자본변동표 | account=기초자본 | account_id=dart_EquityAtBeginningOfPeriod | detail=자본 [구성요소]|자본잉여금 | 제 25 기=4,187,110,424 KRW | 제 24 기=1,022,627,382 KRW | 제 23 기=34,112,593,103 KRW
